trip_id,start_time,end_time,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear
23481664,7/1/2019 7:47,7/1/2019 8:08,5826,"1,281.00",128,Damen Ave & Chicago Ave,49,Dearborn St & Monroe St,Subscriber,Male,1989
23481665,7/1/2019 7:47,7/1/2019 7:54,3877,410,631,Malcolm X College,346,Ada St & Washington Blvd,Subscriber,Male,1992
23481669,7/1/2019 7:47,7/1/2019 7:56,1215,536,212,Wells St & Hubbard St,39,Wabash Ave & Adams St,Subscriber,Male,1985
23481670,7/1/2019 7:47,7/1/2019 8:07,1360,"1,183.00",192,Canal St & Adams St,85,Michigan Ave & Oak St,Subscriber,Male,1976
23481671,7/1/2019 7:47,7/1/2019 7:57,5266,571,192,Canal St & Adams St,43,Michigan Ave & Washington St,Subscriber,Female,1990
23481672,7/1/2019 7:47,7/1/2019 8:03,2946,921,359,Larrabee St & Division St,505,Winchester Ave & Elston Ave,Customer,,
23481673,7/1/2019 7:47,7/1/2019 7:57,4235,591,376,Artesian Ave & Hubbard St,217,Elizabeth (May) St & Fulton St,Subscriber,Male,1961
23481674,7/1/2019 7:47,7/1/2019 7:56,4637,505,107,Desplaines St & Jackson Blvd,81,Daley Center Plaza,Subscriber,Male,1984
23481676,7/1/2019 7:48,7/1/2019 7:52,980,279,464,Damen Ave & Foster Ave,344,Ravenswood Ave & Lawrence Ave,Subscriber,Male,1977
23481677,7/1/2019 7:48,7/1/2019 7:56,1014,500,484,Monticello Ave & Irving Park Rd,640,Bernard St & Elston Ave,Subscriber,Female,1989
23481679,7/1/2019 7:48,7/1/2019 7:55,775,462,58,Marshfield Ave & Cortland St,20,Sheffield Ave & Kingsbury St,Subscriber,Male,1987
23481680,7/1/2019 7:48,7/1/2019 7:54,2356,373,13,Wilton Ave & Diversey Pkwy,340,Clark St & Wrightwood Ave,Subscriber,Male,1981
23481681,7/1/2019 7:48,7/1/2019 8:08,4189,"1,235.00",224,Halsted St & Willow St,81,Daley Center Plaza,Subscriber,Female,1994
23481682,7/1/2019 7:48,7/1/2019 7:53,5458,344,71,Morgan St & Lake St,191,Canal St & Monroe St,Subscriber,Male,1978
23481683,7/1/2019 7:48,7/1/2019 7:58,445,595,186,Ogden Ave & Race Ave,331,Halsted St & Clybourn Ave,Subscriber,Male,1992
23481684,7/1/2019 7:48,7/1/2019 7:53,4735,340,110,Dearborn St & Erie St,133,Kingsbury St & Kinzie St,Subscriber,Male,1973
23481685,7/1/2019 7:48,7/1/2019 7:56,2639,495,80,Aberdeen St & Monroe St,283,LaSalle St & Jackson Blvd,Subscriber,Male,1982
23481686,7/1/2019 7:48,7/1/2019 8:06,4917,"1,101.00",91,Clinton St & Washington Blvd,342,Wolcott Ave & Polk St,Subscriber,Male,1972
23481687,7/1/2019 7:48,7/1/2019 8:05,5946,"1,030.00",180,Ritchie Ct & Banks St,24,Fairbanks Ct & Grand Ave,Subscriber,Male,1988
23481688,7/1/2019 7:48,7/1/2019 7:54,4229,341,340,Clark St & Wrightwood Ave,67,Sheffield Ave & Fullerton Ave,Subscriber,Male,1994
23481689,7/1/2019 7:48,7/1/2019 8:19,3871,"1,880.00",232,Pine Grove Ave & Waveland Ave,90,Millennium Park,Subscriber,Male,1989
23481691,7/1/2019 7:48,7/1/2019 8:15,3792,"1,593.00",173,Mies van der Rohe Way & Chicago Ave,296,Broadway & Belmont Ave,Customer,Female,1995
23481692,7/1/2019 7:48,7/1/2019 7:59,2466,645,111,Sedgwick St & Huron St,211,St. Clair St & Erie St,Subscriber,Female,1993
